StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       05,      04,   199412,    .44,   30.7,    -.3,  -1.71,   -.89,   -.98,      0,   1063,   -.79,   -.38,    .63,   -.58,   -.99,   -1.1,   -.58,   17.4,     44,
       05,      04,   199501,    .63,   27.1,   -.43,   -1.7,   -.49,  -1.12,      0,   1175,   -.09,   -.72,   -.41,   -.06,   -1.1,  -1.14,   -.57,   14.5,   39.7,
       05,      04,   199502,    .97,   33.2,   -.33,  -1.47,    .16,    -.8,      0,    890,    .65,    .32,   -.28,    .16,    -.7,  -1.03,   -.63,   19.5,     47,
       05,      04,   199503,   1.08,   35.7,   -.69,  -1.71,  -1.16,  -1.36,      0,    908,   -.13,    .12,   -.01,    .42,   -.58,   -.96,   -.71,   22.3,   49.2,
       05,      04,   199504,   2.96,   39.2,    .76,   -.77,   2.28,     .5,      0,    774,    .96,    .69,    .78,    .42,    .37,   -.67,   -.51,   26.4,   51.9,
       05,      04,   199505,   5.38,   46.4,   2.84,   2.84,   6.49,   2.84,      0,    577,   2.08,   2.06,   1.89,   1.75,   1.71,    .76,    .51,   35.9,   56.9,
       05,      04,   199506,   3.89,   58.6,   4.23,   4.23,   5.06,   4.23,     16,    208,   1.91,    2.5,   2.57,   2.54,   2.48,   1.75,    .97,   44.9,   72.4,
       05,      04,   199507,    1.7,   66.1,   4.25,   4.25,   1.37,   4.25,     73,     39,   -.76,    1.2,   2.09,   2.25,   1.97,   1.91,   1.01,   50.5,   81.6,
       05,      04,   199508,   1.09,   69.3,    3.8,    3.8,   -.05,   3.72,    143,     10,  -1.07,  -1.22,    .45,   1.81,   1.65,   1.67,    .85,   53.1,   85.6,
       05,      04,   199509,   2.26,     57,   4.26,   4.26,   2.57,   4.26,      8,    248,   1.12,    .23,   -.26,   2.18,   2.02,   2.13,    .99,   42.7,   71.3,
       05,      04,   199510,    .79,   45.1,   3.76,   3.76,   -.19,   3.63,      0,    617,   -.34,    .55,   -.11,   1.72,   1.74,   1.55,    .58,   29.9,   60.3,
