genus_species,Family,Order,TaxonGroup,woody_non-woody,Growth_form,Decid_or_Ever,Compound_Simple,Leaf size_cm2,Whole_leaf_size_cm2,Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
Sambucus canadensis,Adoxaceae,Dipsacales,angio,woody,Shrub,D,C,9.1,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Sambucus pubens,Adoxaceae,Dipsacales,angio,woody,Shrub,D,C,45.9,,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Sassafras albidum,Lauraceae,Laurales,angio,woody,Tree,D,S,128.9,128.9,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Tilia americana,Malvaceae,Malvales,angio,woody,Tree,D,S,286.8,286.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Ulmus americana,Ulmaceae,Rosales,angio,woody,Tree,D,S,57,57,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Ulmus rubra,Ulmaceae,Rosales,angio,woody,Tree,D,S,63.8,63.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Vaccinium angustifolium,Ericaceae,Ericales,angio,woody,Shrub,D,S,2.7,2.7,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Vaccinium myrtilloides,Ericaceae,Ericales,angio,woody,Shrub,D,S,2.8,2.8,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Viburnum cassinoides,Adoxaceae,Dipsacales,angio,woody,Shrub,D,S,26.9,26.9,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Viburnum recognitum,Adoxaceae,Dipsacales,angio,woody,Shrub,D,S,20.2,20.2,United States,41.63,-71.751,590,7,13.28,-5.33,5.48,19.18,1140,749,52.23,0.99,0.77,1154.72,967.51,185.7,136.14,67.84,69.41
Acer pensylvanicum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,75.87,75.87,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Acer rubrum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,29.69,29.69,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Acer saccharum,Sapindaceae,Sapindales,angio,woody,Tree,D,S,33.09,33.09,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Amelanchier laevis,Rosaceae,Rosales,angio,woody,Tree,D,S,18.88,18.88,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Aronia arbutifolia,Rosaceae,Rosales,angio,woody,Tree,D,S,13.81,13.81,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Betula alleghaniensis,Betulaceae,Fagales,angio,woody,Tree,D,S,30.12,30.12,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Betula lenta,Betulaceae,Fagales,angio,woody,Tree,D,S,26.61,26.61,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Betula papyrifera,Betulaceae,Fagales,angio,woody,Tree,D,S,36.05,36.05,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Betula populifolia,Betulaceae,Fagales,angio,woody,Tree,D,S,28.07,28.07,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Castanea dentata,Fagaceae,Fagales,angio,woody,Tree,D,S,87.73,87.73,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Crataegus sp,Rosaceae,Rosales,angio,woody,Tree,D,S,8.97,8.97,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Fagus grandifolia,Fagaceae,Fagales,angio,woody,Tree,D,S,57.61,57.61,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Fraxinus americana,Oleaceae,Lamiales,angio,woody,Tree,D,C,41.15,,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Hamamelis virginiana,Hamamelidaceae,Saxifragales,angio,woody,Shrub,D,S,44.16,44.16,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Ilex verticillata,Aquifoliaceae,Aquifoliales,angio,woody,Shrub,D,S,10.32,10.32,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Kalmia latifolia,Ericaceae,Ericales,angio,woody,Tree,E,S,11.87,11.87,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Lyonia ligustrina,Ericaceae,Ericales,angio,woody,Shrub,D,S,15.26,15.26,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Nemopanthus mucronatus,Aquifoliaceae,Aquifoliales,angio,woody,Shrub,D,S,5.27,5.27,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Nyssa sylvatica,Nyssaceae,Cornales,angio,woody,Tree,D,S,20.5,20.5,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Populus grandidentata,Salicaceae,Malpighiales,angio,woody,Tree,D,S,43.29,43.29,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Populus tremuloides,Salicaceae,Malpighiales,angio,woody,Tree,D,S,30.7,30.7,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Prunus serotina,Rosaceae,Rosales,angio,woody,Tree,D,S,22.99,22.99,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Quercus alba,Fagaceae,Fagales,angio,woody,Tree,D,S,109.91,109.91,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Quercus rubra,Fagaceae,Fagales,angio,woody,Tree,D,S,79.47,79.47,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Rhododendron prinophyllum,Ericaceae,Ericales,angio,woody,Shrub,D,S,7.58,7.58,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Vaccinium corymbosum,Ericaceae,Ericales,angio,woody,Shrub,D,S,17.32,17.32,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
Viburnum recognitum,Adoxaceae,Dipsacales,angio,woody,Shrub,D,S,42.35,42.35,United States,42.495,-74.138,300,7.2,14.33,-7.02,6.58,20.28,1070,673,48.21,1.03,0.76,1033.94,891.35,175,131.28,69.37,69.31
